Queryid	SSeqid	perc_identity	evalue	bit_score	alignment_length	query_length	subject_length
sp|P0C797|NCAP_BDVV	gi|315633211|ref|NP_001186867.1|	40.058	2.00e-83	256	342	370	366
sp|P0C797|NCAP_BDVV	gi|40538806|ref|NP_060499.3|	42.932	5.43e-47	159	191	370	272
sp|P0C796|NCAP_BDV1	gi|315633211|ref|NP_001186867.1|	40.351	4.47e-84	258	342	370	366
sp|P0C796|NCAP_BDV1	gi|40538806|ref|NP_060499.3|	42.932	4.78e-47	159	191	370	272
tr|Q14VH5|Q14VH5_9HIV1	gi|767881997|ref|XP_011533498.1|	31.214	1.08e-22	97.1	173	346	623
tr|Q14VH5|Q14VH5_9HIV1	gi|767881134|ref|XP_011521827.1|	27.749	4.31e-14	69.3	191	346	254
tr|Q14VH5|Q14VH5_9HIV1	gi|767881132|ref|XP_011521825.1|	26.702	1.49e-13	68.2	191	346	288
sp|P35253|VGP_MABVM	gi|767901539|ref|XP_011507309.1|	30.392	6.95e-08	53.5	102	681	584
sp|P35253|VGP_MABVM	gi|767901537|ref|XP_011507308.1|	30.392	6.95e-08	53.5	102	681	584
sp|P17282|GAG_SIVCZ	gi|767881921|ref|XP_011533313.1|	27.000	1.41e-16	80.5	200	508	708
sp|P17282|GAG_SIVCZ	gi|42558260|ref|NP_976048.1|	29.032	3.60e-08	50.8	124	508	166
