Queryid	SSeqid	perc_identity	evalue	bit_score	alignment_length	query_length	subject_length
tr|Q68287|Q68287_9FLAV	gi|768054732|ref|XP_011546801.1|	24.850	1.22e-08	56.6	334	873	742
tr|Q68287|Q68287_9FLAV	gi|768054728|ref|XP_011546800.1|	24.850	1.22e-08	56.6	334	873	742
tr|Q68287|Q68287_9FLAV	gi|768052476|ref|XP_011546415.1|	24.850	1.22e-08	56.6	334	873	742
tr|Q68287|Q68287_9FLAV	gi|768052473|ref|XP_011546414.1|	24.850	1.22e-08	56.6	334	873	742
tr|Q68287|Q68287_9FLAV	gi|768051462|ref|XP_011546245.1|	24.850	1.22e-08	56.6	334	873	742
tr|Q68287|Q68287_9FLAV	gi|768051458|ref|XP_011546244.1|	24.850	1.22e-08	56.6	334	873	742
tr|Q68287|Q68287_9FLAV	gi|768049945|ref|XP_011546026.1|	24.850	1.22e-08	56.6	334	873	742
tr|Q68287|Q68287_9FLAV	gi|768049943|ref|XP_011546025.1|	24.850	1.22e-08	56.6	334	873	742
tr|Q68287|Q68287_9FLAV	gi|768047663|ref|XP_011545629.1|	24.850	1.22e-08	56.6	334	873	742
tr|Q68287|Q68287_9FLAV	gi|768047660|ref|XP_011545628.1|	24.850	1.22e-08	56.6	334	873	742
tr|Q68287|Q68287_9FLAV	gi|768053670|ref|XP_011546613.1|	24.850	1.74e-08	56.2	334	873	742
tr|Q68287|Q68287_9FLAV	gi|768053666|ref|XP_011546612.1|	24.850	1.74e-08	56.2	334	873	742
