Queryid	SSeqid	perc_identity	evalue	bit_score	alignment_length	query_length	subject_length
tr|Q68287|Q68287_9FLAV	gi|578805803|ref|XP_006713096.1|	25.948	1.23e-11	66.6	343	873	1162
tr|Q68287|Q68287_9FLAV	gi|767922685|ref|XP_011531800.1|	25.948	1.30e-11	66.6	343	873	1166
tr|Q68287|Q68287_9FLAV	gi|767922683|ref|XP_011531799.1|	25.948	1.30e-11	66.6	343	873	1166
tr|Q68287|Q68287_9FLAV	gi|767922681|ref|XP_011531798.1|	25.948	1.30e-11	66.6	343	873	1166
tr|Q68287|Q68287_9FLAV	gi|767922679|ref|XP_011531797.1|	25.948	1.67e-11	66.2	343	873	1194
tr|Q68287|Q68287_9FLAV	gi|767922677|ref|XP_011531796.1|	25.948	1.67e-11	66.2	343	873	1194
tr|Q68287|Q68287_9FLAV	gi|767922675|ref|XP_011531795.1|	25.507	2.06e-11	65.9	345	873	1228
tr|Q68287|Q68287_9FLAV	gi|767922673|ref|XP_011531794.1|	25.507	2.15e-11	65.9	345	873	1265
tr|Q68287|Q68287_9FLAV	gi|767922671|ref|XP_011531793.1|	25.507	2.15e-11	65.9	345	873	1265
tr|Q68287|Q68287_9FLAV	gi|767922669|ref|XP_011531792.1|	25.507	2.15e-11	65.9	345	873	1265
tr|Q14VH5|Q14VH5_9HIV1	gi|767921877|ref|XP_011510595.1|	27.749	4.87e-14	69.3	191	346	254
tr|Q14VH5|Q14VH5_9HIV1	gi|767921875|ref|XP_011510594.1|	26.702	1.69e-13	68.2	191	346	288
